title,company,location,skills
Social Media Assistant,Govt of Punjab,Fazilka,"English, MS Office, Punjabi, SQL, Time Management, Word"
Data Entry Operator,District Skill Center,Jalandhar,"Communication, Documentation, Hindi, Problem Solving, Reporting, SQL, Time Management"
District Coordinator,Youth Empowerment Mission,Gurdaspur,"Accounting, Counselling, Excel, Field Work"
Apprentice - IT Support,Govt of Punjab,Hoshiarpur,"Computer Basics, Excel, Time Management"
Block Coordinator,Punjab Employment Office,Patiala,"Documentation, PowerPoint, Tally"
Helpdesk Executive,Punjab IT Cell,Mansa,"Communication, Data Entry, Email Support, Reporting, SQL"
Apprentice - IT Support,Rozgar Facilitation Center,Hoshiarpur,"Hindi, PowerPoint, SQL, Tally, Teamwork, Word"
MIS Executive,Career Guidance Bureau,Amritsar,"Computer Basics, Email Support, Hindi, Punjabi, Word"
Career Counsellor,Punjab IT Cell,Sangrur,"Counselling, Networking, Phone Handling, Teamwork"
Lab Technician,Punjab IT Cell,Mohali,"Accounting, Data Analysis, Documentation, English, MS Office, Time Management"
District Coordinator,Punjab IT Cell,Gurdaspur,"Accounting, Data Analysis, Documentation, Excel, MS Office, PowerPoint, Time Management"
Data Entry Operator,Career Guidance Bureau,Hoshiarpur,"Counselling, Data Entry, Teamwork, Time Management"
Data Entry Operator,Punjab IT Cell,Hoshiarpur,"Communication, Data Entry, English, Word"
District Coordinator,Punjab IT Cell,Hoshiarpur,"Data Analysis, Excel, Hardware Support, Hindi, Problem Solving, Punjabi, Word"
Apprentice - IT Support,Employment Exchange Punjab,Moga,"Accounting, Communication, Hindi, Networking, Phone Handling, Teamwork, Time Management"
Career Counsellor,District Skill Center,Barnala,"Counselling, Customer Support, Data Entry, MS Office, Punjabi"
Computer Operator,Govt of Punjab,Hoshiarpur,"Hindi, Phone Handling, PowerPoint, Time Management"
MIS Executive,District Skill Center,Patiala,"Counselling, Documentation, Email Support, Phone Handling"
Data Entry Operator,Govt of Punjab,Jalandhar,"Customer Support, Data Entry, Hardware Support, Phone Handling, Teamwork, Word"
Community Facilitator,District Skill Center,Mohali,"Problem Solving, Reporting, Tally"
Social Media Assistant,Punjab Employment Office,Ludhiana,"Accounting, Counselling, Customer Support, Email Support, Hardware Support, PowerPoint, Teamwork"
Helpdesk Executive,Punjab IT Cell,Tarn Taran,"Counselling, English, Phone Handling"
Lab Technician,District Skill Center,Pathankot,"Counselling, Email Support, English, Hindi, MS Office, SQL, Word"
Computer Operator,Govt of Punjab,Bathinda,"Communication, Data Analysis, Email Support, Teamwork"
MIS Executive,Youth Empowerment Mission,Tarn Taran,"Communication, Computer Basics, English, MS Office"
Helpdesk Executive,Career Guidance Bureau,Tarn Taran,"Email Support, Excel, Field Work, MS Office, Networking, Phone Handling, SQL"
Data Entry Operator,District Skill Center,Patiala,"Accounting, Customer Support, Networking, Tally, Word"
MIS Executive,Career Guidance Bureau,Jalandhar,"Counselling, Documentation, Networking, Phone Handling, Problem Solving, Punjabi"
Social Media Assistant,Youth Empowerment Mission,Mohali,"Data Entry, Documentation, Punjabi, Tally, Word"
Data Entry Operator,Punjab IT Cell,Bathinda,"Field Work, Hindi, Networking, Punjabi, Teamwork"
Apprentice - IT Support,Punjab IT Cell,Mansa,"Computer Basics, Data Entry, Hindi, Reporting, SQL"
Data Entry Operator,Punjab Employment Office,Patiala,"Accounting, Communication, Counselling, Field Work, Phone Handling, PowerPoint, Word"
Lab Technician,Punjab Employment Office,Mohali,"Communication, Excel, Field Work, Reporting, Tally"
Apprentice - IT Support,Career Guidance Bureau,Hoshiarpur,"Accounting, English, Hardware Support, Hindi, Problem Solving, Reporting"
Career Counsellor,Rozgar Facilitation Center,Patiala,"Counselling, Data Analysis, Field Work, Hardware Support, Punjabi, Reporting"
Community Facilitator,Career Guidance Bureau,Hoshiarpur,"Communication, Customer Support, Email Support, PowerPoint, Teamwork"
Block Coordinator,District Skill Center,Amritsar,"Computer Basics, English, Time Management"
Helpdesk Executive,Punjab Employment Office,Sangrur,"Customer Support, Data Entry, English, Hardware Support, Problem Solving, Punjabi, Time Management"
MIS Executive,Punjab Employment Office,Faridkot,"Data Analysis, Excel, Field Work, Phone Handling, SQL, Tally, Word"
Career Counsellor,Govt of Punjab,Barnala,"Email Support, MS Office, Networking"
Apprentice - IT Support,District Skill Center,Faridkot,"Data Analysis, English, Excel, PowerPoint, Problem Solving, Word"
Lab Technician,Punjab Employment Office,Moga,"Customer Support, Hindi, Networking, Reporting, Tally"
Junior Clerk,Govt of Punjab,Ludhiana,"Data Analysis, Excel, Field Work, Networking, Phone Handling, Punjabi, Word"
Apprentice - IT Support,Rozgar Facilitation Center,Bathinda,"Accounting, Counselling, Data Analysis, English, Phone Handling, Word"
District Coordinator,Employment Exchange Punjab,Ferozepur,"Accounting, Communication, Documentation"
Community Facilitator,Punjab Employment Office,Ludhiana,"Counselling, Customer Support, Data Entry, PowerPoint"
Junior Clerk,Punjab Employment Office,Tarn Taran,"Computer Basics, Customer Support, Data Entry, English, Phone Handling, Teamwork"
Apprentice - IT Support,Govt of Punjab,Gurdaspur,"Customer Support, Email Support, English, Field Work, Hardware Support, PowerPoint, SQL"
District Coordinator,Employment Exchange Punjab,Ludhiana,"Data Entry, English, Hardware Support, Hindi, Tally"
Helpdesk Executive,Punjab IT Cell,Bathinda,"Communication, Documentation, Tally, Time Management"
Social Media Assistant,Employment Exchange Punjab,Mohali,"Accounting, Customer Support, Email Support, Field Work, Phone Handling, Tally, Teamwork"
Data Entry Operator,Employment Exchange Punjab,Faridkot,"Counselling, Customer Support, English, Field Work, Punjabi, Teamwork"
Data Entry Operator,Employment Exchange Punjab,Jalandhar,"Computer Basics, Customer Support, Data Analysis, Field Work, Reporting, Tally"
MIS Executive,Govt of Punjab,Patiala,"Computer Basics, Email Support, English, Excel, Hardware Support, Problem Solving, Word"
Apprentice - IT Support,Youth Empowerment Mission,Moga,"Accounting, Counselling, Email Support, Excel, Hindi, Punjabi, SQL"
District Coordinator,Youth Empowerment Mission,Sangrur,"Documentation, Networking, PowerPoint, Time Management"
MIS Executive,District Skill Center,Faridkot,"Data Entry, Documentation, Field Work, MS Office, PowerPoint"
Block Coordinator,Youth Empowerment Mission,Gurdaspur,"Counselling, Data Analysis, Networking, SQL, Teamwork, Time Management"
Apprentice - IT Support,Employment Exchange Punjab,Bathinda,"Data Analysis, Email Support, Excel, MS Office, Phone Handling, Time Management"
District Coordinator,Punjab Employment Office,Ludhiana,"Customer Support, Field Work, Word"
Community Facilitator,Career Guidance Bureau,Mohali,"Computer Basics, Documentation, Hindi, PowerPoint, SQL, Teamwork, Word"
MIS Executive,Punjab Employment Office,Patiala,"Accounting, Computer Basics, Data Entry, Problem Solving, SQL"
Lab Technician,Career Guidance Bureau,Mohali,"Computer Basics, Documentation, PowerPoint, Reporting, SQL"
Helpdesk Executive,Govt of Punjab,Amritsar,"Communication, Data Analysis, English, Hindi, Phone Handling, PowerPoint, Time Management"
Apprentice - IT Support,Punjab IT Cell,Pathankot,"Computer Basics, Customer Support, Hindi, SQL"
Apprentice - IT Support,Career Guidance Bureau,Bathinda,"English, Problem Solving, Punjabi, Time Management"
