title,company,location,skills
Admin Assistant,Govt of Punjab - Revenue Dept,Bathinda,"English, Documentation, Networking, PowerPoint, Typing, Data Entry"
Helpdesk Executive,PSEB,Amritsar,"Excel, Data Entry, Tally, Field Work, Typing, Networking, Documentation, English"
Career Counsellor,Punjab Skill Development Mission,Patiala,"Field Work, PowerPoint, Tally, Data Entry, MS Office, English, Hardware Support, Teamwork"
IT Support Technician,PGRKAM Partner Employer,Jalandhar,"Communication, Data Entry, SQL, Punjabi, Field Work"
Field Coordinator,PGRKAM Partner Employer,Hoshiarpur,"Teamwork, Communication, Tally, Excel, SQL, Punjabi, Hardware Support, Hindi"
Data Entry Operator,Govt of Punjab - Health Dept,Gurdaspur,"Typing, Data Entry, Communication, SQL, Excel"
Social Media Assistant,Govt of Punjab - Revenue Dept,Firozpur,"MS Office, SQL, Data Entry, Hardware Support, Documentation, Typing"
Data Entry Operator,PSEB,Amritsar,"Networking, Communication, Excel, English, Hindi"
MIS Executive,Punjab Rural Development Dept,Pathankot,"Tally, Networking, Hardware Support, Hindi, Teamwork, Typing, Field Work"
Helpdesk Executive,PGRKAM Partner Employer,Gurdaspur,"Customer Support, Hardware Support, Hindi, Typing, MS Office, Communication, Tally, PowerPoint"
Lab Technician,PGRKAM Partner Employer,Amritsar,"Teamwork, Excel, Communication, Field Work, Documentation, Networking"
Customer Support Executive,Punjab Digital Office,Jalandhar,"Data Entry, Punjabi, Hindi, Documentation, SQL"
Apprentice - IT Support,Punjab Rural Development Dept,Pathankot,"Hardware Support, Networking, Typing, SQL, Hindi, Communication, Excel, Field Work"
Career Counsellor,Govt of Punjab - Revenue Dept,Bathinda,"SQL, Punjabi, Documentation, Customer Support, Data Entry, Hindi, Hardware Support"
District Coordinator,Govt of Punjab - Health Dept,Mohali,"Excel, MS Office, Field Work, Typing, SQL"
Apprentice - IT Support,Punjab Skill Development Mission,Jalandhar,"Punjabi, Customer Support, Hardware Support, PowerPoint, Data Entry, English"
Admin Assistant,Punjab Digital Office,Mohali,"Punjabi, Tally, Communication, Customer Support, PowerPoint, Hardware Support, Documentation"
Computer Operator,PGRKAM Partner Employer,Amritsar,"PowerPoint, Teamwork, MS Office, Communication"
Computer Operator,PGRKAM Partner Employer,Amritsar,"Hardware Support, Hindi, Tally, Networking, Customer Support, Punjabi, Documentation"
District Coordinator,Govt of Punjab - Revenue Dept,Jalandhar,"PowerPoint, MS Office, Documentation, Hindi"
Lab Technician,PGRKAM Partner Employer,Amritsar,"Field Work, Punjabi, Typing, Tally, Teamwork, Data Entry, SQL"
IT Support Technician,Punjab Digital Office,Gurdaspur,"Tally, English, Field Work, Communication, SQL"
